Sequence,Endereco,Contato,Observacoes,Responsavel,Latitude,Longitude
"0","R. Basílio da Gama, 56 - Jardim Limoeiro, Serra - ES, 29164-355, Brasil","Cariacica","ES","Brazil","-20.2065396","-40.2533612"
"1","Tv. Afonso Schwab, 843 - Nova Esperança, Cariacica - ES, 29157-552, Brasil","Cariacica","ES","Brazil","-20.265806","-40.3960047"
"2","Rua Principal, 454 - Rio Marinho, Cariacica - ES, 29142-535, Brasil","Cariacica","ES","Brazil","-20.3788081","-40.3707072"
"3","Rod. Campos-Vitória, 1211 - Universal, Viana - ES, 29135-000, Brasil","Cariacica","ES","Brazil","-20.3667702","-40.4460424"
"4","R. Y, 13 - Porto de Cariacica, Cariacica - ES, 29148-660, Brasil","Cariacica","ES","Brazil","-20.2814348","-40.4030113"
"5","R. Vinte e Quatro, 187 - Nova Rosa da Penha, Cariacica - ES, 29157-423, Brasil","Cariacica","ES","Brazil","-20.2618898","-40.3873101"
"6","R. Vinte e Quatro, 033 - Nova Rosa da Penha, Cariacica - ES, 29157-423, Brasil","Cariacica","ES","Brazil","-20.2629009","-40.3874349"
"7","R. Vila Velha, 01 - Itanguá, Cariacica - ES, 29149-460, Brasil","Cariacica","ES","Brazil","-20.3288089","-40.3946867"
"8","R. Treze, 1434 - Mucuri, Cariacica - ES, 29147-620, Brasil","Cariacica","ES","Brazil","-20.3337721","-40.403558"
"9","R. Sorocaba, 228 - Marcílio de Noronha, Viana - ES, 29135-372, Brasil","Cariacica","ES","Brazil","-20.3464958","-40.4273237"
"10","R. Silvano Ferreira Santos, 15 - Porto Novo, Cariacica - ES, 29153-350, Brasil","Cariacica","ES","Brazil","-20.2985518","-40.371506"
"11","R. Seis, 45 - Arlindo Villaschi, Viana - ES, 29136-176, Brasil","Cariacica","ES","Brazil","-20.365642","-40.4233047"
"12","R. São João, 877 - Santo André, Cariacica - ES, 29145-838, Brasil","Cariacica","ES","Brazil","-20.347591","-40.3991147"
"13","R. São João, 124 - Itacibá, Cariacica - ES, 29150-230, Brasil","Cariacica","ES","Brazil","-20.3226901","-40.37824"
"14","R. Santos Dumont, 577 - Canaã, Viana - ES, 29135-026, Brasil","Cariacica","ES","Brazil","-20.3613035","-40.4419241"
"15","R. Santa Helena, 89 - Vila Bethania, Viana - ES, 29136-013, Brasil","Cariacica","ES","Brazil","-20.3594091","-40.4077844"
"16","R. Santa Helena, 74 - Vila Bethania, Viana - ES, 29136-013, Brasil","Cariacica","ES","Brazil","-20.3599338","-40.4078348"
"17","R. Santa Helena, 1 - Vila Bethania, Viana - ES, 29136-013, Brasil","Cariacica","ES","Brazil","-20.3558435","-40.4103281"
"18","R. Santa Clara, 36 - Cruzeiro do Sul, Cariacica - ES, 29144-761, Brasil","Cariacica","ES","Brazil","-20.347602","-40.3992657"
"19","R. Quinze de Novembro, 3 - Campo Grande, Cariacica - ES, 29146-270, Brasil","Cariacica","ES","Brazil","-20.343903","-40.3872797"
"20","Av. Lopes Loureiro, 86 - Centro, Cariacica - ES, 29156-140, Brasil","Cariacica","ES","Brazil","-20.266235","-40.4199497"
"21","R. Pres. Getúlio Vargas, 98 - Cariacica Sede, Cariacica - ES, 29156-146, Brasil","Cariacica","ES","Brazil","-20.264734","-40.4214797"
